date,min,max,median,q1,q3,stdev,count
2020-04-18T00:00:00.000Z,0.55,1.86,1.1,0.89,1.27,0.266,589
2020-04-19T00:00:00.000Z,0.5,4.05,0.97,0.75,1.87,0.689,571
2020-04-20T00:00:00.000Z,0.53,3.24,1.11,0.95,1.38,0.418,515
2020-04-21T00:00:00.000Z,0.65,2.39,1.14,0.98,1.35,0.298,382
2020-04-22T00:00:00.000Z,0.65,7.52,1.08,0.95,1.25,0.562,426
2020-04-23T00:00:00.000Z,0.7,2.4,1.25,1.08,1.44,0.307,486
2020-04-24T00:00:00.000Z,0.43,1.76,0.75,0.64,0.97,0.244,555
2020-04-25T00:00:00.000Z,0.45,1.64,0.7,0.63,0.8,0.171,511
2020-04-26T00:00:00.000Z,0.44,2.66,1.18,0.93,1.72,0.492,566
2020-04-27T00:00:00.000Z,0.88,4.33,1.63,1.38,2,0.613,540
2020-04-28T00:00:00.000Z,0.75,2.24,1.32,1.17,1.54,0.292,414
2020-04-29T00:00:00.000Z,0.86,4.3,1.55,1.33,2.13,0.625,525
2020-04-30T00:00:00.000Z,1.47,8.13,3.46,2.65,4.45,1.359,546
2020-05-01T00:00:00.000Z,2.22,15.08,5.5,3.99,9.57,3.312,562
2020-05-02T00:00:00.000Z,0.6,10.95,1.3,0.92,2.12,2.237,548
2020-05-03T00:00:00.000Z,0.5,3.18,1.55,0.96,2.04,0.638,582
2020-05-04T00:00:00.000Z,0.73,4.46,1.18,1,1.58,0.838,535
2020-05-05T00:00:00.000Z,0.53,8.11,1.35,1.05,1.76,0.888,496
2020-05-06T00:00:00.000Z,0.62,3.58,1.18,1,1.43,0.387,595
2020-05-07T00:00:00.000Z,0.6,3.26,1.15,0.99,1.38,0.354,386
2020-05-08T00:00:00.000Z,1.2,6.55,2.69,2.04,3.24,1.006,349
2020-05-09T00:00:00.000Z,0.45,3.42,1,0.8,1.25,0.387,348
2020-05-10T00:00:00.000Z,0.56,7.9,3.01,1.96,5.01,1.84,247
2020-05-11T00:00:00.000Z,0.45,8.67,0.88,0.75,1.04,0.622,357
2020-05-12T00:00:00.000Z,0.55,1.94,0.94,0.81,1.1,0.216,471
2020-05-13T00:00:00.000Z,0.44,4.01,0.95,0.75,1.12,0.408,460
2020-05-14T00:00:00.000Z,0.55,2.92,1.07,0.9,1.45,0.453,464
2020-05-15T00:00:00.000Z,0.6,2.27,1.08,0.88,1.3,0.294,534
2020-05-16T00:00:00.000Z,0.5,2.82,0.85,0.75,1,0.26,338
2020-05-17T00:00:00.000Z,0.35,2.25,0.8,0.6,1.3,0.415,545
2020-05-18T00:00:00.000Z,0.35,1.43,0.72,0.6,0.94,0.222,479
2020-05-19T00:00:00.000Z,0.5,2.85,1.1,0.9,1.34,0.342,550
2020-05-20T00:00:00.000Z,0.51,3.2,1,0.8,1.35,0.384,552
2020-05-21T00:00:00.000Z,0.52,7.95,1.1,0.81,1.38,0.65,524
2020-05-22T00:00:00.000Z,0.7,3.38,1.86,1.54,2.15,0.478,548
2020-05-23T00:00:00.000Z,0.76,9.86,2.14,1.6,4.7,2.344,514
2020-05-24T00:00:00.000Z,1.4,10.07,3.57,2.6,4.3,1.404,549
2020-05-25T00:00:00.000Z,1.3,10,2.4,2.02,3.2,1.723,547
2020-05-26T00:00:00.000Z,1,13.67,2,1.67,2.63,1.068,507
2020-05-27T00:00:00.000Z,0.9,5.23,2.06,1.63,2.6,0.665,535
2020-05-28T00:00:00.000Z,0.4,4.13,1,0.75,1.5,0.67,552
2020-05-29T00:00:00.000Z,0.4,6.47,1,0.83,1.5,0.55,549
2020-05-30T00:00:00.000Z,0.3,2.43,0.63,0.5,0.8,0.348,568
2020-05-31T00:00:00.000Z,0.3,1.8,0.6,0.5,0.7,0.181,514
2020-06-01T00:00:00.000Z,0.4,3.17,1,0.8,1.3,0.451,497
2020-06-02T00:00:00.000Z,0.8,4.76,1.47,1.2,1.73,0.458,542
2020-06-03T00:00:00.000Z,0.8,5.77,1.8,1.5,2.23,0.867,463
2020-06-04T00:00:00.000Z,1.17,5.57,2.8,2.37,3.27,0.866,545
2020-06-05T00:00:00.000Z,2.43,8.43,4.2,3.7,4.93,1.178,446
2020-06-06T00:00:00.000Z,0.4,5.2,1.23,0.9,1.97,0.975,492
2020-06-07T00:00:00.000Z,0.56,4.37,1.17,0.93,1.4,0.373,552
2020-06-08T00:00:00.000Z,0.56,3.2,1.43,1.1,1.77,0.452,546
2020-06-09T00:00:00.000Z,0.4,4,1.6,1.23,2.17,0.646,500
2020-06-10T00:00:00.000Z,0.3,8.6,0.7,0.6,1.03,0.676,542
2020-06-11T00:00:00.000Z,0.4,1.7,0.8,0.63,1,0.259,568
2020-06-12T00:00:00.000Z,0.6,3.1,1.6,1.4,1.89,0.391,577
2020-06-13T00:00:00.000Z,0.6,2.7,1.3,1.09,1.6,0.354,552
2020-06-14T00:00:00.000Z,0.56,2.7,1.3,1,1.57,0.388,340
2020-06-15T00:00:00.000Z,0.77,6.1,1.47,1.23,1.7,0.445,571
2020-06-16T00:00:00.000Z,1.1,10.3,2.4,1.73,3.5,1.651,575
2020-06-17T00:00:00.000Z,1.7,8.83,3.57,2.6,4.4,1.377,551
2020-06-18T00:00:00.000Z,2.2,9,3.4,2.93,4.23,1.203,512
2020-06-19T00:00:00.000Z,1.17,7.03,2.9,1.92,3.6,1.194,492
2020-06-20T00:00:00.000Z,0.73,9,4,2,5.17,1.986,586
2020-06-21T00:00:00.000Z,0.8,2.8,1.57,1.37,1.77,0.31,588
2020-06-22T00:00:00.000Z,0.8,4.9,1.97,1.6,2.27,0.503,563
2020-06-23T00:00:00.000Z,1,6.4,2.02,1.7,2.54,0.721,572
2020-06-24T00:00:00.000Z,1.57,19.17,2.95,2.6,3.45,1.313,592
2020-06-25T00:00:00.000Z,1.2,5.87,3.3,2.6,3.9,0.88,556
2020-06-26T00:00:00.000Z,1.5,13.3,2.7,2.33,3.4,1.203,563
2020-06-27T00:00:00.000Z,2.02,30.43,3.23,2.77,4.23,1.906,519
2020-06-28T00:00:00.000Z,2.93,15.77,4.4,3.9,5.03,1.738,447
2020-06-29T00:00:00.000Z,0.67,18.13,2.17,1.67,4.4,2.728,480
2020-06-30T00:00:00.000Z,0.5,4.47,1.53,1.17,1.83,0.506,475
2020-07-01T00:00:00.000Z,0.56,2.4,1.1,0.95,1.4,0.337,460
2020-07-02T00:00:00.000Z,0.5,3.8,1.2,1.03,1.5,0.353,458
2020-07-03T00:00:00.000Z,0.4,2.67,1.03,0.8,1.33,0.404,474
2020-07-04T00:00:00.000Z,0.3,2.9,0.9,0.7,1.17,0.452,499
2020-07-05T00:00:00.000Z,0.5,6.6,1.7,1.3,2.33,0.968,475
2020-07-06T00:00:00.000Z,0.53,3.27,1.3,1.1,1.57,0.375,280
2020-07-07T00:00:00.000Z,0.3,1.87,0.67,0.5,0.8,0.251,424
2020-07-08T00:00:00.000Z,0.4,3.13,0.87,0.7,1.1,0.309,444
2020-07-09T00:00:00.000Z,0.3,3,0.7,0.5,0.9,0.399,474
2020-07-10T00:00:00.000Z,0.5,15.9,1.4,0.93,1.9,1.261,430
2020-07-11T00:00:00.000Z,0.4,2.63,1.1,0.8,1.4,0.434,338
2020-07-12T00:00:00.000Z,0.4,1.9,0.87,0.7,1.1,0.256,385
2020-07-13T00:00:00.000Z,0.4,5.7,1.1,0.8,1.6,1.014,391
2020-07-14T00:00:00.000Z,0.8,10.63,1.8,1.43,2.31,0.946,441
2020-07-15T00:00:00.000Z,0.9,7.1,2.23,1.73,3.8,1.368,350
2020-07-16T00:00:00.000Z,0.8,14.77,1.6,1.3,7.5,3.828,324
2020-07-17T00:00:00.000Z,0.53,2.57,1.3,1.1,1.57,0.363,492
2020-07-18T00:00:00.000Z,0.7,4.97,1.5,1.3,1.99,0.841,457
